POKEID;NAME;TYPE;TOTAL;HP;ATTACK;DEFENSE;SP_ATK;SP_DEF;SPEED;ICONS
0146;Moltres;['Fire', 'Flying'];580;90;100;90;125;85;90;['https://img.pokemondb.net/sprites/scarlet-violet/icon/moltres.png']
0146;Moltres Galarian Moltres;['Dark', 'Flying'];580;90;85;90;100;125;90;['https://img.pokemondb.net/sprites/scarlet-violet/icon/moltres-galarian.png']
0147;Dratini;['Dragon'];300;41;64;45;50;50;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/dratini.png']
0148;Dragonair;['Dragon'];420;61;84;65;70;70;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/dragonair.png']
0149;Dragonite;['Dragon', 'Flying'];600;91;134;95;100;100;80;['https://img.pokemondb.net/sprites/scarlet-violet/icon/dragonite.png']
0150;Mewtwo;['Psychic'];680;106;110;90;154;90;130;['https://img.pokemondb.net/sprites/scarlet-violet/icon/mewtwo.png']
0150;Mewtwo Mega Mewtwo X;['Psychic', 'Fighting'];780;106;190;100;154;100;130;['https://img.pokemondb.net/sprites/scarlet-violet/icon/mewtwo-mega-x.png']
0150;Mewtwo Mega Mewtwo Y;['Psychic'];780;106;150;70;194;120;140;['https://img.pokemondb.net/sprites/scarlet-violet/icon/mewtwo-mega-y.png']
0151;Mew;['Psychic'];600;100;100;100;100;100;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/mew.png']
0152;Chikorita;['Grass'];318;45;49;65;49;65;45;['https://img.pokemondb.net/sprites/scarlet-violet/icon/chikorita.png']
0153;Bayleef;['Grass'];405;60;62;80;63;80;60;['https://img.pokemondb.net/sprites/scarlet-violet/icon/bayleef.png']
0154;Meganium;['Grass'];525;80;82;100;83;100;80;['https://img.pokemondb.net/sprites/scarlet-violet/icon/meganium.png']
0155;Cyndaquil;['Fire'];309;39;52;43;60;50;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/cyndaquil.png']
0156;Quilava;['Fire'];405;58;64;58;80;65;80;['https://img.pokemondb.net/sprites/scarlet-violet/icon/quilava.png']
0157;Typhlosion;['Fire'];534;78;84;78;109;85;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/typhlosion.png']
0157;Typhlosion Hisuian Typhlosion;['Fire', 'Ghost'];534;73;84;78;119;85;95;['https://img.pokemondb.net/sprites/scarlet-violet/icon/typhlosion-hisuian.png']
0158;Totodile;['Water'];314;50;65;64;44;48;43;['https://img.pokemondb.net/sprites/scarlet-violet/icon/totodile.png']
0159;Croconaw;['Water'];405;65;80;80;59;63;58;['https://img.pokemondb.net/sprites/scarlet-violet/icon/croconaw.png']
0160;Feraligatr;['Water'];530;85;105;100;79;83;78;['https://img.pokemondb.net/sprites/scarlet-violet/icon/feraligatr.png']
0161;Sentret;['Normal'];215;35;46;34;35;45;20;['https://img.pokemondb.net/sprites/scarlet-violet/icon/sentret.png']
0162;Furret;['Normal'];415;85;76;64;45;55;90;['https://img.pokemondb.net/sprites/scarlet-violet/icon/furret.png']
0163;Hoothoot;['Normal', 'Flying'];262;60;30;30;36;56;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/hoothoot.png']
0164;Noctowl;['Normal', 'Flying'];452;100;50;50;86;96;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/noctowl.png']
0165;Ledyba;['Bug', 'Flying'];265;40;20;30;40;80;55;['https://img.pokemondb.net/sprites/scarlet-violet/icon/ledyba.png']
0166;Ledian;['Bug', 'Flying'];390;55;35;50;55;110;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/ledian.png']
0167;Spinarak;['Bug', 'Poison'];250;40;60;40;40;40;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/spinarak.png']
0168;Ariados;['Bug', 'Poison'];400;70;90;70;60;70;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/ariados.png']
0169;Crobat;['Poison', 'Flying'];535;85;90;80;70;80;130;['https://img.pokemondb.net/sprites/scarlet-violet/icon/crobat.png']
0170;Chinchou;['Water', 'Electric'];330;75;38;38;56;56;67;['https://img.pokemondb.net/sprites/scarlet-violet/icon/chinchou.png']
0171;Lanturn;['Water', 'Electric'];460;125;58;58;76;76;67;['https://img.pokemondb.net/sprites/scarlet-violet/icon/lanturn.png']
0172;Pichu;['Electric'];205;20;40;15;35;35;60;['https://img.pokemondb.net/sprites/scarlet-violet/icon/pichu.png']
0173;Cleffa;['Fairy'];218;50;25;28;45;55;15;['https://img.pokemondb.net/sprites/scarlet-violet/icon/cleffa.png']
0174;Igglybuff;['Normal', 'Fairy'];210;90;30;15;40;20;15;['https://img.pokemondb.net/sprites/scarlet-violet/icon/igglybuff.png']
0175;Togepi;['Fairy'];245;35;20;65;40;65;20;['https://img.pokemondb.net/sprites/scarlet-violet/icon/togepi.png']
0176;Togetic;['Fairy', 'Flying'];405;55;40;85;80;105;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/togetic.png']
0177;Natu;['Psychic', 'Flying'];320;40;50;45;70;45;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/natu.png']
0178;Xatu;['Psychic', 'Flying'];470;65;75;70;95;70;95;['https://img.pokemondb.net/sprites/scarlet-violet/icon/xatu.png']
0179;Mareep;['Electric'];280;55;40;40;65;45;35;['https://img.pokemondb.net/sprites/scarlet-violet/icon/mareep.png']
0180;Flaaffy;['Electric'];365;70;55;55;80;60;45;['https://img.pokemondb.net/sprites/scarlet-violet/icon/flaaffy.png']
0181;Ampharos;['Electric'];510;90;75;85;115;90;55;['https://img.pokemondb.net/sprites/scarlet-violet/icon/ampharos.png']
0181;Ampharos Mega Ampharos;['Electric', 'Dragon'];610;90;95;105;165;110;45;['https://img.pokemondb.net/sprites/scarlet-violet/icon/ampharos-mega.png']
0182;Bellossom;['Grass'];490;75;80;95;90;100;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/bellossom.png']
0183;Marill;['Water', 'Fairy'];250;70;20;50;20;50;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/marill.png']
0184;Azumarill;['Water', 'Fairy'];420;100;50;80;60;80;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/azumarill.png']
0185;Sudowoodo;['Rock'];410;70;100;115;30;65;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/sudowoodo.png']
0186;Politoed;['Water'];500;90;75;75;90;100;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/politoed.png']
0187;Hoppip;['Grass', 'Flying'];250;35;35;40;35;55;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/hoppip.png']
0188;Skiploom;['Grass', 'Flying'];340;55;45;50;45;65;80;['https://img.pokemondb.net/sprites/scarlet-violet/icon/skiploom.png']
0189;Jumpluff;['Grass', 'Flying'];460;75;55;70;55;95;110;['https://img.pokemondb.net/sprites/scarlet-violet/icon/jumpluff.png']
0190;Aipom;['Normal'];360;55;70;55;40;55;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/aipom.png']
0191;Sunkern;['Grass'];180;30;30;30;30;30;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/sunkern.png']
0192;Sunflora;['Grass'];425;75;75;55;105;85;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/sunflora.png']
0193;Yanma;['Bug', 'Flying'];390;65;65;45;75;45;95;['https://img.pokemondb.net/sprites/scarlet-violet/icon/yanma.png']
0194;Wooper;['Water', 'Ground'];210;55;45;45;25;25;15;['https://img.pokemondb.net/sprites/scarlet-violet/icon/wooper.png']
0194;Wooper Paldean Wooper;['Poison', 'Ground'];210;55;45;45;25;25;15;['https://img.pokemondb.net/sprites/scarlet-violet/icon/wooper-paldean.png']
0195;Quagsire;['Water', 'Ground'];430;95;85;85;65;65;35;['https://img.pokemondb.net/sprites/scarlet-violet/icon/quagsire.png']
0196;Espeon;['Psychic'];525;65;65;60;130;95;110;['https://img.pokemondb.net/sprites/scarlet-violet/icon/espeon.png']
0197;Umbreon;['Dark'];525;95;65;110;60;130;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/umbreon.png']
0198;Murkrow;['Dark', 'Flying'];405;60;85;42;85;42;91;['https://img.pokemondb.net/sprites/scarlet-violet/icon/murkrow.png']
0199;Slowking;['Water', 'Psychic'];490;95;75;80;100;110;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/slowking.png']
0199;Slowking Galarian Slowking;['Poison', 'Psychic'];490;95;65;80;110;110;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/slowking-galarian.png']
0200;Misdreavus;['Ghost'];435;60;60;60;85;85;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/misdreavus.png']
0201;Unown;['Psychic'];336;48;72;48;72;48;48;['https://img.pokemondb.net/sprites/scarlet-violet/icon/unown.png']
0202;Wobbuffet;['Psychic'];405;190;33;58;33;58;33;['https://img.pokemondb.net/sprites/scarlet-violet/icon/wobbuffet.png']
0203;Girafarig;['Normal', 'Psychic'];455;70;80;65;90;65;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/girafarig.png']
0204;Pineco;['Bug'];290;50;65;90;35;35;15;['https://img.pokemondb.net/sprites/scarlet-violet/icon/pineco.png']
0205;Forretress;['Bug', 'Steel'];465;75;90;140;60;60;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/forretress.png']
0206;Dunsparce;['Normal'];415;100;70;70;65;65;45;['https://img.pokemondb.net/sprites/scarlet-violet/icon/dunsparce.png']
0207;Gligar;['Ground', 'Flying'];430;65;75;105;35;65;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/gligar.png']
0208;Steelix;['Steel', 'Ground'];510;75;85;200;55;65;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/steelix.png']
0208;Steelix Mega Steelix;['Steel', 'Ground'];610;75;125;230;55;95;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/steelix-mega.png']
0209;Snubbull;['Fairy'];300;60;80;50;40;40;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/snubbull.png']
0210;Granbull;['Fairy'];450;90;120;75;60;60;45;['https://img.pokemondb.net/sprites/scarlet-violet/icon/granbull.png']
0211;Qwilfish;['Water', 'Poison'];440;65;95;85;55;55;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/qwilfish.png']
0211;Qwilfish Hisuian Qwilfish;['Dark', 'Poison'];440;65;95;85;55;55;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/qwilfish-hisuian.png']
0212;Scizor;['Bug', 'Steel'];500;70;130;100;55;80;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/scizor.png']
0212;Scizor Mega Scizor;['Bug', 'Steel'];600;70;150;140;65;100;75;['https://img.pokemondb.net/sprites/scarlet-violet/icon/scizor-mega.png']
0213;Shuckle;['Bug', 'Rock'];505;20;10;230;10;230;5;['https://img.pokemondb.net/sprites/scarlet-violet/icon/shuckle.png']
0214;Heracross;['Bug', 'Fighting'];500;80;125;75;40;95;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/heracross.png']
0214;Heracross Mega Heracross;['Bug', 'Fighting'];600;80;185;115;40;105;75;['https://img.pokemondb.net/sprites/scarlet-violet/icon/heracross-mega.png']
0215;Sneasel;['Dark', 'Ice'];430;55;95;55;35;75;115;['https://img.pokemondb.net/sprites/scarlet-violet/icon/sneasel.png']
0215;Sneasel Hisuian Sneasel;['Fighting', 'Poison'];430;55;95;55;35;75;115;['https://img.pokemondb.net/sprites/scarlet-violet/icon/sneasel-hisuian.png']
0216;Teddiursa;['Normal'];330;60;80;50;50;50;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/teddiursa.png']
0217;Ursaring;['Normal'];500;90;130;75;75;75;55;['https://img.pokemondb.net/sprites/scarlet-violet/icon/ursaring.png']
0218;Slugma;['Fire'];250;40;40;40;70;40;20;['https://img.pokemondb.net/sprites/scarlet-violet/icon/slugma.png']
0219;Magcargo;['Fire', 'Rock'];430;60;50;120;90;80;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/magcargo.png']
0220;Swinub;['Ice', 'Ground'];250;50;50;40;30;30;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/swinub.png']
0221;Piloswine;['Ice', 'Ground'];450;100;100;80;60;60;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/piloswine.png']
0222;Corsola;['Water', 'Rock'];410;65;55;95;65;95;35;['https://img.pokemondb.net/sprites/scarlet-violet/icon/corsola.png']
0222;Corsola Galarian Corsola;['Ghost'];410;60;55;100;65;100;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/corsola-galarian.png']
0223;Remoraid;['Water'];300;35;65;35;65;35;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/remoraid.png']
0224;Octillery;['Water'];480;75;105;75;105;75;45;['https://img.pokemondb.net/sprites/scarlet-violet/icon/octillery.png']
0225;Delibird;['Ice', 'Flying'];330;45;55;45;65;45;75;['https://img.pokemondb.net/sprites/scarlet-violet/icon/delibird.png']
0226;Mantine;['Water', 'Flying'];485;85;40;70;80;140;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/mantine.png']
0227;Skarmory;['Steel', 'Flying'];465;65;80;140;40;70;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/skarmory.png']
0228;Houndour;['Dark', 'Fire'];330;45;60;30;80;50;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/houndour.png']
0229;Houndoom;['Dark', 'Fire'];500;75;90;50;110;80;95;['https://img.pokemondb.net/sprites/scarlet-violet/icon/houndoom.png']
0229;Houndoom Mega Houndoom;['Dark', 'Fire'];600;75;90;90;140;90;115;['https://img.pokemondb.net/sprites/scarlet-violet/icon/houndoom-mega.png']
0230;Kingdra;['Water', 'Dragon'];540;75;95;95;95;95;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/kingdra.png']
0231;Phanpy;['Ground'];330;90;60;60;40;40;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/phanpy.png']
0232;Donphan;['Ground'];500;90;120;120;60;60;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/donphan.png']
0233;Porygon2;['Normal'];515;85;80;90;105;95;60;['https://img.pokemondb.net/sprites/scarlet-violet/icon/porygon2.png']
0234;Stantler;['Normal'];465;73;95;62;85;65;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/stantler.png']
0235;Smeargle;['Normal'];250;55;20;35;20;45;75;['https://img.pokemondb.net/sprites/scarlet-violet/icon/smeargle.png']
0236;Tyrogue;['Fighting'];210;35;35;35;35;35;35;['https://img.pokemondb.net/sprites/scarlet-violet/icon/tyrogue.png']
0237;Hitmontop;['Fighting'];455;50;95;95;35;110;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/hitmontop.png']
0238;Smoochum;['Ice', 'Psychic'];305;45;30;15;85;65;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/smoochum.png']
0239;Elekid;['Electric'];360;45;63;37;65;55;95;['https://img.pokemondb.net/sprites/scarlet-violet/icon/elekid.png']
0240;Magby;['Fire'];365;45;75;37;70;55;83;['https://img.pokemondb.net/sprites/scarlet-violet/icon/magby.png']
0241;Miltank;['Normal'];490;95;80;105;40;70;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/miltank.png']
0242;Blissey;['Normal'];540;255;10;10;75;135;55;['https://img.pokemondb.net/sprites/scarlet-violet/icon/blissey.png']
0243;Raikou;['Electric'];580;90;85;75;115;100;115;['https://img.pokemondb.net/sprites/scarlet-violet/icon/raikou.png']
0244;Entei;['Fire'];580;115;115;85;90;75;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/entei.png']
0245;Suicune;['Water'];580;100;75;115;90;115;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/suicune.png']
0246;Larvitar;['Rock', 'Ground'];300;50;64;50;45;50;41;['https://img.pokemondb.net/sprites/scarlet-violet/icon/larvitar.png']
0247;Pupitar;['Rock', 'Ground'];410;70;84;70;65;70;51;['https://img.pokemondb.net/sprites/scarlet-violet/icon/pupitar.png']
0248;Tyranitar;['Rock', 'Dark'];600;100;134;110;95;100;61;['https://img.pokemondb.net/sprites/scarlet-violet/icon/tyranitar.png']
0248;Tyranitar Mega Tyranitar;['Rock', 'Dark'];700;100;164;150;95;120;71;['https://img.pokemondb.net/sprites/scarlet-violet/icon/tyranitar-mega.png']
0249;Lugia;['Psychic', 'Flying'];680;106;90;130;90;154;110;['https://img.pokemondb.net/sprites/scarlet-violet/icon/lugia.png']
0250;Ho-oh;['Fire', 'Flying'];680;106;130;90;110;154;90;['https://img.pokemondb.net/sprites/scarlet-violet/icon/ho-oh.png']
0251;Celebi;['Psychic', 'Grass'];600;100;100;100;100;100;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/celebi.png']
0252;Treecko;['Grass'];310;40;45;35;65;55;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/treecko.png']
0253;Grovyle;['Grass'];405;50;65;45;85;65;95;['https://img.pokemondb.net/sprites/scarlet-violet/icon/grovyle.png']
0254;Sceptile;['Grass'];530;70;85;65;105;85;120;['https://img.pokemondb.net/sprites/scarlet-violet/icon/sceptile.png']
0254;Sceptile Mega Sceptile;['Grass', 'Dragon'];630;70;110;75;145;85;145;['https://img.pokemondb.net/sprites/scarlet-violet/icon/sceptile-mega.png']
0255;Torchic;['Fire'];310;45;60;40;70;50;45;['https://img.pokemondb.net/sprites/scarlet-violet/icon/torchic.png']
0256;Combusken;['Fire', 'Fighting'];405;60;85;60;85;60;55;['https://img.pokemondb.net/sprites/scarlet-violet/icon/combusken.png']
0257;Blaziken;['Fire', 'Fighting'];530;80;120;70;110;70;80;['https://img.pokemondb.net/sprites/scarlet-violet/icon/blaziken.png']
0257;Blaziken Mega Blaziken;['Fire', 'Fighting'];630;80;160;80;130;80;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/blaziken-mega.png']
0258;Mudkip;['Water'];310;50;70;50;50;50;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/mudkip.png']
0259;Marshtomp;['Water', 'Ground'];405;70;85;70;60;70;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/marshtomp.png']
0260;Swampert;['Water', 'Ground'];535;100;110;90;85;90;60;['https://img.pokemondb.net/sprites/scarlet-violet/icon/swampert.png']
0260;Swampert Mega Swampert;['Water', 'Ground'];635;100;150;110;95;110;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/swampert-mega.png']
0261;Poochyena;['Dark'];220;35;55;35;30;30;35;['https://img.pokemondb.net/sprites/scarlet-violet/icon/poochyena.png']
0262;Mightyena;['Dark'];420;70;90;70;60;60;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/mightyena.png']
0263;Zigzagoon;['Normal'];240;38;30;41;30;41;60;['https://img.pokemondb.net/sprites/scarlet-violet/icon/zigzagoon.png']
0263;Zigzagoon Galarian Zigzagoon;['Dark', 'Normal'];240;38;30;41;30;41;60;['https://img.pokemondb.net/sprites/scarlet-violet/icon/zigzagoon-galarian.png']
0264;Linoone;['Normal'];420;78;70;61;50;61;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/linoone.png']
0264;Linoone Galarian Linoone;['Dark', 'Normal'];420;78;70;61;50;61;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/linoone-galarian.png']
0265;Wurmple;['Bug'];195;45;45;35;20;30;20;['https://img.pokemondb.net/sprites/scarlet-violet/icon/wurmple.png']
0266;Silcoon;['Bug'];205;50;35;55;25;25;15;['https://img.pokemondb.net/sprites/scarlet-violet/icon/silcoon.png']
0267;Beautifly;['Bug', 'Flying'];395;60;70;50;100;50;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/beautifly.png']
0268;Cascoon;['Bug'];205;50;35;55;25;25;15;['https://img.pokemondb.net/sprites/scarlet-violet/icon/cascoon.png']
0269;Dustox;['Bug', 'Poison'];385;60;50;70;50;90;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/dustox.png']
0270;Lotad;['Water', 'Grass'];220;40;30;30;40;50;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/lotad.png']
0271;Lombre;['Water', 'Grass'];340;60;50;50;60;70;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/lombre.png']
0272;Ludicolo;['Water', 'Grass'];480;80;70;70;90;100;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/ludicolo.png']
0273;Seedot;['Grass'];220;40;40;50;30;30;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/seedot.png']
0274;Nuzleaf;['Grass', 'Dark'];340;70;70;40;60;40;60;['https://img.pokemondb.net/sprites/scarlet-violet/icon/nuzleaf.png']
0275;Shiftry;['Grass', 'Dark'];480;90;100;60;90;60;80;['https://img.pokemondb.net/sprites/scarlet-violet/icon/shiftry.png']
0276;Taillow;['Normal', 'Flying'];270;40;55;30;30;30;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/taillow.png']
0277;Swellow;['Normal', 'Flying'];455;60;85;60;75;50;125;['https://img.pokemondb.net/sprites/scarlet-violet/icon/swellow.png']
0278;Wingull;['Water', 'Flying'];270;40;30;30;55;30;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/wingull.png']
0279;Pelipper;['Water', 'Flying'];440;60;50;100;95;70;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/pelipper.png']
0280;Ralts;['Psychic', 'Fairy'];198;28;25;25;45;35;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/ralts.png']
0281;Kirlia;['Psychic', 'Fairy'];278;38;35;35;65;55;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/kirlia.png']
0282;Gardevoir;['Psychic', 'Fairy'];518;68;65;65;125;115;80;['https://img.pokemondb.net/sprites/scarlet-violet/icon/gardevoir.png']
0282;Gardevoir Mega Gardevoir;['Psychic', 'Fairy'];618;68;85;65;165;135;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/gardevoir-mega.png']
0283;Surskit;['Bug', 'Water'];269;40;30;32;50;52;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/surskit.png']
0284;Masquerain;['Bug', 'Flying'];454;70;60;62;100;82;80;['https://img.pokemondb.net/sprites/scarlet-violet/icon/masquerain.png']
0285;Shroomish;['Grass'];295;60;40;60;40;60;35;['https://img.pokemondb.net/sprites/scarlet-violet/icon/shroomish.png']
0286;Breloom;['Grass', 'Fighting'];460;60;130;80;60;60;70;['https://img.pokemondb.net/sprites/scarlet-violet/icon/breloom.png']
0287;Slakoth;['Normal'];280;60;60;60;35;35;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/slakoth.png']
0288;Vigoroth;['Normal'];440;80;80;80;55;55;90;['https://img.pokemondb.net/sprites/scarlet-violet/icon/vigoroth.png']
0289;Slaking;['Normal'];670;150;160;100;95;65;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/slaking.png']
0290;Nincada;['Bug', 'Ground'];266;31;45;90;30;30;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/nincada.png']
0291;Ninjask;['Bug', 'Flying'];456;61;90;45;50;50;160;['https://img.pokemondb.net/sprites/scarlet-violet/icon/ninjask.png']
0292;Shedinja;['Bug', 'Ghost'];236;1;90;45;30;30;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/shedinja.png']
0293;Whismur;['Normal'];240;64;51;23;51;23;28;['https://img.pokemondb.net/sprites/scarlet-violet/icon/whismur.png']
0294;Loudred;['Normal'];360;84;71;43;71;43;48;['https://img.pokemondb.net/sprites/scarlet-violet/icon/loudred.png']
0295;Exploud;['Normal'];490;104;91;63;91;73;68;['https://img.pokemondb.net/sprites/scarlet-violet/icon/exploud.png']
0296;Makuhita;['Fighting'];237;72;60;30;20;30;25;['https://img.pokemondb.net/sprites/scarlet-violet/icon/makuhita.png']
0297;Hariyama;['Fighting'];474;144;120;60;40;60;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/hariyama.png']
0298;Azurill;['Normal', 'Fairy'];190;50;20;40;20;40;20;['https://img.pokemondb.net/sprites/scarlet-violet/icon/azurill.png']
0299;Nosepass;['Rock'];375;30;45;135;45;90;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/nosepass.png']
0300;Skitty;['Normal'];260;50;45;45;35;35;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/skitty.png']
0301;Delcatty;['Normal'];400;70;65;65;55;55;90;['https://img.pokemondb.net/sprites/scarlet-violet/icon/delcatty.png']
0302;Sableye;['Dark', 'Ghost'];380;50;75;75;65;65;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/sableye.png']
0302;Sableye Mega Sableye;['Dark', 'Ghost'];480;50;85;125;85;115;20;['https://img.pokemondb.net/sprites/scarlet-violet/icon/sableye-mega.png']
0303;Mawile;['Steel', 'Fairy'];380;50;85;85;55;55;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/mawile.png']
0303;Mawile Mega Mawile;['Steel', 'Fairy'];480;50;105;125;55;95;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/mawile-mega.png']
0304;Aron;['Steel', 'Rock'];330;50;70;100;40;40;30;['https://img.pokemondb.net/sprites/scarlet-violet/icon/aron.png']
0305;Lairon;['Steel', 'Rock'];430;60;90;140;50;50;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/lairon.png']
0306;Aggron;['Steel', 'Rock'];530;70;110;180;60;60;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/aggron.png']
0306;Aggron Mega Aggron;['Steel'];630;70;140;230;60;80;50;['https://img.pokemondb.net/sprites/scarlet-violet/icon/aggron-mega.png']
0307;Meditite;['Fighting', 'Psychic'];280;30;40;55;40;55;60;['https://img.pokemondb.net/sprites/scarlet-violet/icon/meditite.png']
0308;Medicham;['Fighting', 'Psychic'];410;60;60;75;60;75;80;['https://img.pokemondb.net/sprites/scarlet-violet/icon/medicham.png']
0308;Medicham Mega Medicham;['Fighting', 'Psychic'];510;60;100;85;80;85;100;['https://img.pokemondb.net/sprites/scarlet-violet/icon/medicham-mega.png']
0309;Electrike;['Electric'];295;40;45;40;65;40;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/electrike.png']
0310;Manectric;['Electric'];475;70;75;60;105;60;105;['https://img.pokemondb.net/sprites/scarlet-violet/icon/manectric.png']
0310;Manectric Mega Manectric;['Electric'];575;70;75;80;135;80;135;['https://img.pokemondb.net/sprites/scarlet-violet/icon/manectric-mega.png']
0311;Plusle;['Electric'];405;60;50;40;85;75;95;['https://img.pokemondb.net/sprites/scarlet-violet/icon/plusle.png']
0312;Minun;['Electric'];405;60;40;50;75;85;95;['https://img.pokemondb.net/sprites/scarlet-violet/icon/minun.png']
0313;Volbeat;['Bug'];430;65;73;75;47;85;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/volbeat.png']
0314;Illumise;['Bug'];430;65;47;75;73;85;85;['https://img.pokemondb.net/sprites/scarlet-violet/icon/illumise.png']
0315;Roselia;['Grass', 'Poison'];400;50;60;45;100;80;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/roselia.png']
0316;Gulpin;['Poison'];302;70;43;53;43;53;40;['https://img.pokemondb.net/sprites/scarlet-violet/icon/gulpin.png']
0317;Swalot;['Poison'];467;100;73;83;73;83;55;['https://img.pokemondb.net/sprites/scarlet-violet/icon/swalot.png']
0318;Carvanha;['Water', 'Dark'];305;45;90;20;65;20;65;['https://img.pokemondb.net/sprites/scarlet-violet/icon/carvanha.png']
0319;Sharpedo;['Water', 'Dark'];460;70;120;40;95;40;95;['https://img.pokemondb.net/sprites/scarlet-violet/icon/sharpedo.png']
0319;Sharpedo Mega Sharpedo;['Water', 'Dark'];560;70;140;70;110;65;105;['https://img.pokemondb.net/sprites/scarlet-violet/icon/sharpedo-mega.png']
